target_number,lon,lat,xpixel,ypixel,detecttime,inc_ang,reliability,nr_pixels,length,width,size_class,heading_range,heading_north,lwh_reliability,manual_add,noise,significance,threshold_tile,max_value,false_alarm_cause
67,106.29048,1.450014,24733.0,855.0,2019-11-27 11:17:22.519,43.453,0,1,10.0,10.0,S,0.0,100.0,false,false,0,"0.0,0.0,0.29,1.503","0.0,0.0,86.001,280.8","0,0,38,215",
68,106.282203,1.452301,24648.0,898.0,2019-11-27 11:17:22.519,43.416,0,409,691.0,248.0,L,0.0,116.0,false,false,0,"0.0,0.0,1.991,3.469","0.0,0.0,84.932,273.859","0,0,75,374",
69,104.664182,1.110839,6250.0,936.0,2019-11-27 11:17:22.519,34.338,0,18,106.0,42.0,M,0.0,16.0,false,false,0,"0.0,0.0,2.781,2.688","0.0,0.0,102.53,213.744","0,0,109,193",
70,104.210165,1.065289,1201.0,1482.0,2019-11-27 11:17:22.519,31.422,0,14,45.0,30.0,S,0.0,25.0,false,false,0,"0.0,0.0,7.66,8.702","0.0,0.0,130.495,334.868","0,0,287,827",
71,104.214026,1.060428,1232.0,1422.0,2019-11-27 11:17:22.519,31.44,0,15,40.0,33.0,S,0.0,95.0,false,false,0,"0.0,0.0,9.95,11.064","0.0,0.0,130.494,267.828","0,0,358,820",
72,104.215032,1.060011,1242.0,1415.0,2019-11-27 11:17:22.519,31.446,0,13,45.0,26.0,S,0.0,100.0,false,false,0,"0.0,0.0,9.012,6.349","0.0,0.0,130.679,295.205","0,0,331,707",
73,104.156193,1.034892,544.0,1282.0,2019-11-27 11:17:22.519,31.028,0,9,32.0,26.0,S,0.0,2.0,false,false,0,"0.0,0.0,6.189,3.681","0.0,0.0,136.952,349.59","0,0,249,381",
74,104.225559,1.042133,1316.0,1201.0,2019-11-27 11:17:22.519,31.49,0,7,24.0,26.0,S,0.0,100.0,false,false,0,"0.0,0.0,3.221,1.062","0.0,0.0,140.659,1162.23","0,0,167,309",
75,104.2219,1.048662,1291.0,1279.0,2019-11-27 11:17:22.519,31.475,0,6,33.0,15.0,S,0.0,136.0,false,false,0,"0.0,0.0,2.843,1.607","0.0,0.0,137.095,1025.855","0,0,148,389",
76,104.225147,1.050259,1330.0,1288.0,2019-11-27 11:17:22.519,31.498,0,1,10.0,10.0,S,0.0,100.0,false,false,0,"0.0,0.0,3.532,1.056","0.0,0.0,153.91,1122.744","0,0,190,263",
77,104.210934,1.059406,1196.0,1418.0,2019-11-27 11:17:22.519,31.419,0,41,96.0,39.0,M,0.0,9.0,false,false,0,"0.0,0.0,15.957,16.879","0.0,0.0,130.569,329.757","0,0,563,1718",
78,104.15472,1.054254,572.0,1491.0,2019-11-27 11:17:22.519,31.045,0,44,91.0,45.0,M,0.0,180.0,false,false,0,"0.0,0.0,9.317,13.335","0.0,0.0,134.538,369.623","0,0,347,1225",
79,104.156519,1.053555,590.0,1479.0,2019-11-27 11:17:22.519,31.056,0,27,86.0,30.0,M,0.0,145.0,false,false,0,"0.0,0.0,6.527,12.746","0.0,0.0,134.082,360.939","0,0,249,1128",
80,104.156505,1.05274,588.0,1470.0,2019-11-27 11:17:22.519,31.054,0,10,35.0,25.0,S,0.0,100.0,false,false,0,"0.0,0.0,7.015,3.846","0.0,0.0,133.837,361.832","0,0,263,396",
81,104.157416,1.050137,592.0,1441.0,2019-11-27 11:17:22.519,31.057,0,6,34.0,20.0,S,0.0,10.0,false,false,0,"0.0,0.0,2.958,5.752","0.0,0.0,133.817,362.731","0,0,127,553",
