MMSI,LATITUDE,LONGITUDE,Diff,SPEED_BEFORE,LENGTH,BREADTH,NAME,AISTYPE
533131038,1.3076011063106787,104.15084054522356,-39,0.2,110,19,ARWEN,84
563625000,1.3191976359166948,104.11289276634731,-147,0.3,146,22,KOTA RAJIN,70
533056300,1.3127806436101552,104.14269171072766,-25,0.1,102,19,ORKIM MERIT,80
533036600,1.3454227756634762,104.0910851051533,-85,0.0,131,18,JM SUTERA 6,80
564029000,1.259056176071571,104.10972579106863,0,13.6,147,24,CHANA BHUM,90
564391000,1.2807374951293964,104.13504637470845,-27,9.1,164,26,ALS SUMIRE,70
533064300,1.3458194412742628,104.09559307998327,-34,0.0,81,10,YUHOMARU,80
440198000,1.336726059058481,104.10924005371325,-157,0.1,97,16,DL BEGONIA,81
525018505,1.0922255763685087,104.17559206911952,-118,0.2,160,26,LPG/C SALMON MUSTAFA,84
533170319,1.3142212856352524,104.09703633597752,-95,11.6,140,20,HARBOUR ZENITH,70
525011092,1.1154798675030653,104.18725288263515,-24,0.0,160,11,MT.ONTARI,80
240271000,1.330716668670006,104.10911515246183,-205,0.2,190,32,ANNITA,70
525008027,1.0671630847991034,104.21286092646353,-104,0.0,100,30,MT SINDANG,80
310703000,1.3339039358587081,104.09669896457532,-29,0.0,128,20,SICHEM HONG KONG,80
525011107,1.056830301871166,104.20859011437888,-103,0.0,88,13,COSMIC 9,80
371321000,1.3377919992305831,104.09946942066337,-68,0.0,120,20,SUPER EASTERN,80
538004918,1.298895930344826,104.09297685172241,-47,0.2,361,65,SEA TUBARAO,70
563055800,1.5351958778188568,104.5098874194317,-88,0.0,162,26,CHERRY,70
636091595,1.5056415670692131,104.82434904823752,-82,0.1,294,32,CHICAGO,70
441548000,1.2879587687920864,104.27860477286322,0,14.8,294,32,ANL WENDOUREE,71
