vds_target__boat__target_number,vds_target__boat__lon,vds_target__boat__lat,vds_target__boat__xpixel,vds_target__boat__ypixel,vds_target__boat__detecttime,vds_target__boat__inc_ang,vds_target__boat__reliability,vds_target__boat__false_alarm_cause,vds_target__boat__nr_pixels,vds_target__boat__length,vds_target__boat__width,vds_target__boat__size_class,vds_target__boat__heading_range,vds_target__boat__heading_north,vds_target__boat__lwh_reliability,vds_target__boat__manual_add,vds_target__boat__noise,vds_target__boat__significance,vds_target__boat__threshold_tile,vds_target__boat__max_value
905,72.861919,18.961541,9011,11565,02:56.9,36.022,0,,41,83,46,M,0,160,FALSE,FALSE,0,"0.0,0.0,18.585,25.797","0.0,0.0,116.202,232.387","0,0,593,1462"
906,72.858776,18.962744,9046,11558,02:56.9,36.041,0,,18,46,39,S,0,10,FALSE,FALSE,0,"0.0,0.0,13.833,11.735","0.0,0.0,116.292,264.912","0,0,454,954"
911,72.864073,18.952644,8970,11656,02:56.9,36,0,,27,52,47,S,0,19,FALSE,FALSE,0,"0.0,0.0,7.592,14.032","0.0,0.0,116.483,295.978","0,0,277,1729"
912,72.871384,18.95005,8889,11669,02:56.9,35.957,0,,91,126,79,L,0,63,FALSE,FALSE,0,"0.0,0.0,7.468,96.898","0.0,0.0,115.831,277.671","0,0,263,7426"
913,72.862529,18.954091,8989,11643,02:56.9,36.01,0,,20,45,40,S,0,52,FALSE,FALSE,0,"0.0,0.0,7.951,19.954","0.0,0.0,116.436,293.179","0,0,288,2311"
914,72.866245,18.954752,8952,11629,02:56.9,35.991,0,,26,67,36,S,0,172,FALSE,FALSE,0,"0.0,0.0,11.228,10.808","0.0,0.0,115.961,281.356","0,0,379,1047"
915,72.863814,18.955645,8979,11624,02:56.9,36.005,0,,26,54,44,S,0,10,FALSE,FALSE,0,"0.0,0.0,7.318,10.696","0.0,0.0,116.402,288.47","0,0,267,1134"
916,72.869354,18.954808,8920,11622,02:56.9,35.973,0,,70,92,78,M,0,68,FALSE,FALSE,0,"0.0,0.0,10.561,10.001","0.0,0.0,115.212,266.215","0,0,351,831"
917,72.863806,18.959405,8987,11584,02:56.9,36.009,3,AA,5,25,15,S,0,82,FALSE,FALSE,0,"0.0,0.0,0.608,2.703","0.0,0.0,116.324,269.772","0,0,65,296"
918,72.868713,18.960206,8938,11566,02:56.9,35.983,0,,65,116,54,M,0,169,FALSE,FALSE,0,"0.0,0.0,14.437,15.324","0.0,0.0,114.485,219.912","0,0,456,827"
922,72.879864,18.94939,8800,11659,02:56.9,35.909,0,,66,107,57,M,0,117,FALSE,FALSE,0,"0.0,0.0,16.012,15.583","0.0,0.0,115.73,244.142","0,0,502,930"
923,72.916372,18.948954,8422,11592,02:56.9,35.704,0,,22,50,41,S,0,169,FALSE,FALSE,0,"0.0,0.0,10.874,10.994","0.0,0.0,129.758,256.473","0,0,399,732"
924,72.914915,18.949401,8438,11591,02:56.9,35.713,0,,30,73,38,M,0,8,FALSE,FALSE,0,"0.0,0.0,10.78,24.643","0.0,0.0,129.426,257.997","0,0,401,1537"
925,72.908444,18.959898,8527,11491,02:56.9,35.761,0,,11,37,26,S,0,174,FALSE,FALSE,0,"0.0,0.0,8.235,6.994","0.0,0.0,126.114,303.003","0,0,305,667"
926,72.922332,18.944011,8350,11634,02:56.9,35.665,0,,23,51,40,S,0,134,FALSE,FALSE,0,"0.0,0.0,8.513,20.988","0.0,0.0,131.706,249.506","0,0,321,1217"
927,72.920749,18.950477,8380,11568,02:56.9,35.682,0,,15,44,30,S,0,73,FALSE,FALSE,0,"0.0,0.0,10.719,7.027","0.0,0.0,131.325,246.577","0,0,390,457"
