"DATE TIME (UTC)","MMSI","LATITUDE","LONGITUDE","COURSE","SPEED","HEADING","IMO","NAME","CALLSIGN","AISTYPE","A","B","C","D","DRAUGHT","DESTINATION","ETA"
"2018-10-23 00:58:37",419060900,18.94378,72.84130,3.0,0.0,192,9371880,"TAG MAMTA           ","AULD   ",52,15,21,7,3,3.8,"MUMBAI              ","11-07 01:00"
"2018-10-23 00:58:39",419001175,18.91605,72.91138,218.7,0.1,210,0,"MODAK","AWRH",0,0,0,0,0,2.3,"MUMBAI","01-01 00:00"
"2018-10-23 00:58:40",419055600,18.94557,72.85698,10.2,2.6,7,9142679,"ANTAREJA            ","AUIA   ",33,24,23,5,6,2.8,"MUMBAI              ","09-26 08:00"
"2018-10-23 00:58:40",565653000,18.93433,72.89505,58.0,11.7,58,9326421,"WAN HAI 509         ","9VJJ7  ",70,209,59,11,21,12.3,"NSA                 ","10-23 06:30"
"2018-10-23 00:58:40",419900630,18.94971,72.85649,339.9,3.1,511,0,"","",0,0,0,0,0,0.0,"","00-00 24:60"
"2018-10-23 00:58:41",419901305,18.95169,72.86265,115.9,1.7,511,0,"M.V. SHARAVATI","8TYC",70,55,15,6,7,3.5,"MUMBAI","03-27 00:00"
"2018-10-23 00:58:41",538004315,18.90119,72.85095,34.3,0.1,143,9572082,"ANJELIQUE D         ","V7WJ4  ",79,171,26,12,20,8.3,"ID MDA>ID DHT       ","10-13 19:30"
"2018-10-23 00:58:42",419083800,18.94288,72.85945,0.0,0.0,511,0,"OCEAN NECTAR","AUZB",52,24,5,3,5,0.0,"","00-00 24:60"
"2018-10-23 00:58:42",419900862,18.95162,72.84654,0.0,0.0,511,0,"M.V. SAAHA","8TGX",80,40,20,5,8,0.0,"","00-00 24:60"
"2018-10-23 00:58:43",419090700,18.95397,72.86238,271.4,0.1,210,0,"","",0,0,0,0,0,0.0,"","00-00 24:60"
"2018-10-23 00:58:43",419017300,18.90783,72.86050,209.0,9.3,218,10267904,"DCI DREDGE_16","VWXU",90,30,92,11,9,0.0,"","00-00 00:00"
"2018-10-23 00:58:44",419001069,18.95677,72.86176,212.0,0.0,511,0,"","",0,0,0,0,0,0.0,"","00-00 24:60"
"2018-10-23 00:58:45",419255000,18.94440,72.86090,271.0,0.0,183,0,"","",0,0,0,0,0,0.0,"","00-00 24:60"
"2018-10-23 00:58:45",419000791,18.95487,72.85395,192.2,0.1,511,8849361,"VMS 21              ","AWCR   ",90,175,13,15,15,1.5,"MUMBAI              ","12-02 02:00"
"2018-10-23 00:58:46",419701000,18.89499,72.85220,210.4,8.2,208,9471939,"OCEAN     DIAMOND   ","AUUF   ",90,10,60,11,6,4.4,"PILOT STN           ","10-22 21:30"
"2018-10-23 00:58:46",419097600,18.93497,72.87011,335.5,0.0,181,9549554,"TAG-8               ","AVED   ",90,17,55,8,12,4.5,"P&V (MUMBAI)        ","10-22 18:35"
"2018-10-23 00:58:47",205744000,18.88087,72.83643,202.5,0.0,203,9187473,"VASCO DA GAMA       ","ORST   ",90,56,151,18,18,10.0,"MUMB                ","08-20 10:00"
"2018-10-23 00:58:47",477759700,18.93003,72.88435,238.0,11.6,238,9535149,"MOL GRANDEUR","VRIQ8",74,199,76,20,20,12.0,"LKCMB","10-25 14:30"
